,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,features,cluster
411,53,0.771,0.553,11.0,-8.741,0.0,0.121,0.0166,3.78e-05,0.145,0.484,115.002,4.0,"[53.0,0.771,0.553,11.0,-8.741,0.0,0.121,0.0166,3.78e-05,0.145,0.484,115.002,4.0]",2
412,0,0.757,0.874,0.0,-5.697,0.0,0.0597,0.0293,5.98e-05,0.741,0.578,120.995,4.0,"[0.0,0.757,0.874,0.0,-5.697,0.0,0.0597,0.0293,5.98e-05,0.741,0.578,120.995,4.0]",0
413,81,0.705,0.712,6.0,-6.156,1.0,0.0385,0.0102,0.000855,0.1,0.62,97.512,4.0,"[81.0,0.705,0.712,6.0,-6.156,1.0,0.0385,0.0102,0.000855,0.1,0.62,97.512,4.0]",2
414,21,0.745,0.832,7.0,-5.318,1.0,0.0331,0.0213,2.79e-06,0.714,0.387,123.999,4.0,"[21.0,0.745,0.832,7.0,-5.318,1.0,0.0331,0.0213,2.79e-06,0.714,0.387,123.999,4.0]",0
415,53,0.794,0.643,4.0,-7.044,0.0,0.0564,0.0339,0.569,0.067,0.744,131.038,4.0,"[53.0,0.794,0.643,4.0,-7.044,0.0,0.0564,0.0339,0.569,0.067,0.744,131.038,4.0]",2
416,5,0.805,0.585,10.0,-9.116,0.0,0.0662,0.0124,0.146,0.0604,0.976,125.009,4.0,"[5.0,0.805,0.585,10.0,-9.116,0.0,0.0662,0.0124,0.146,0.0604,0.976,125.009,4.0]",0
417,15,0.89,0.857,5.0,-7.746,0.0,0.0491,0.00208,0.615,0.0436,0.716,121.998,4.0,"[15.0,0.89,0.857,5.0,-7.746,0.0,0.0491,0.00208,0.615,0.0436,0.716,121.998,4.0]",0
418,13,0.8,0.668,7.0,-10.027,0.0,0.0777,0.017,0.264,0.0215,0.858,124.002,4.0,"[13.0,0.8,0.668,7.0,-10.027,0.0,0.0777,0.017,0.264,0.0215,0.858,124.002,4.0]",0
419,3,0.733,0.712,11.0,-7.572,0.0,0.0607,7.49e-05,0.782,0.0532,0.912,127.183,4.0,"[3.0,0.733,0.712,11.0,-7.572,0.0,0.0607,7.49e-05,0.782,0.0532,0.912,127.183,4.0]",0
420,43,0.62,0.537,2.0,-9.533,0.0,0.0865,0.259,0.00014,0.0964,0.85,83.721,4.0,"[43.0,0.62,0.537,2.0,-9.533,0.0,0.0865,0.259,0.00014,0.0964,0.85,83.721,4.0]",2
421,43,0.594,0.62,5.0,-9.79,0.0,0.104,0.371,0.000187,0.0919,0.811,188.102,4.0,"[43.0,0.594,0.62,5.0,-9.79,0.0,0.104,0.371,0.000187,0.0919,0.811,188.102,4.0]",2
422,59,0.504,0.719,1.0,-9.155,0.0,0.0431,0.00878,0.00149,0.075,0.177,102.144,4.0,"[59.0,0.504,0.719,1.0,-9.155,0.0,0.0431,0.00878,0.00149,0.075,0.177,102.144,4.0]",2
423,0,0.811,0.625,8.0,-7.939,1.0,0.125,0.00282,2.23e-05,0.0355,0.864,125.986,4.0,"[0.0,0.811,0.625,8.0,-7.939,1.0,0.125,0.00282,2.23e-05,0.0355,0.864,125.986,4.0]",0
424,31,0.475,0.707,7.0,-12.299,1.0,0.0337,0.000712,1.03e-05,0.228,0.698,165.51,4.0,"[31.0,0.475,0.707,7.0,-12.299,1.0,0.0337,0.000712,1.03e-05,0.228,0.698,165.51,4.0]",0
425,32,0.76,0.852,1.0,-7.499,0.0,0.126,0.0108,0.299,0.32,0.516,124.012,4.0,"[32.0,0.76,0.852,1.0,-7.499,0.0,0.126,0.0108,0.299,0.32,0.516,124.012,4.0]",0
426,70,0.816,0.514,10.0,-8.741,1.0,0.0339,0.767,0.949,0.0899,0.912,136.837,4.0,"[70.0,0.816,0.514,10.0,-8.741,1.0,0.0339,0.767,0.949,0.0899,0.912,136.837,4.0]",2
427,3,0.747,0.897,6.0,-2.089,0.0,0.0367,9.85e-06,0.897,0.0266,0.718,127.007,4.0,"[3.0,0.747,0.897,6.0,-2.089,0.0,0.0367,9.85e-06,0.897,0.0266,0.718,127.007,4.0]",0
428,73,0.674,0.347,9.0,-17.707,1.0,0.0364,0.396,1.05e-05,0.0916,0.647,102.013,4.0,"[73.0,0.674,0.347,9.0,-17.707,1.0,0.0364,0.396,1.05e-05,0.0916,0.647,102.013,4.0]",2
429,45,0.929,0.499,1.0,-10.432,1.0,0.312,0.108,0.0,0.126,0.656,138.045,4.0,"[45.0,0.929,0.499,1.0,-10.432,1.0,0.312,0.108,0.0,0.126,0.656,138.045,4.0]",2
430,13,0.801,0.67,4.0,-9.144,0.0,0.0859,0.00271,0.76,0.0829,0.906,128.003,4.0,"[13.0,0.801,0.67,4.0,-9.144,0.0,0.0859,0.00271,0.76,0.0829,0.906,128.003,4.0]",0
431,20,0.678,0.906,11.0,-6.074,1.0,0.0739,0.000566,0.886,0.0969,0.663,128.074,4.0,"[20.0,0.678,0.906,11.0,-6.074,1.0,0.0739,0.000566,0.886,0.0969,0.663,128.074,4.0]",0
432,57,0.674,0.74,4.0,-9.138,1.0,0.0504,0.515,0.818,0.319,0.166,125.998,4.0,"[57.0,0.674,0.74,4.0,-9.138,1.0,0.0504,0.515,0.818,0.319,0.166,125.998,4.0]",2
433,24,0.701,0.84,11.0,-9.745,0.0,0.053,0.000356,0.668,0.124,0.455,129.983,4.0,"[24.0,0.701,0.84,11.0,-9.745,0.0,0.053,0.000356,0.668,0.124,0.455,129.983,4.0]",0
434,42,0.854,0.638,8.0,-7.878,0.0,0.06,0.0002,0.707,0.0879,0.881,122.006,4.0,"[42.0,0.854,0.638,8.0,-7.878,0.0,0.06,0.0002,0.707,0.0879,0.881,122.006,4.0]",2
435,48,0.849,0.744,11.0,-9.744,0.0,0.0891,0.236,0.157,0.0776,0.312,122.019,4.0,"[48.0,0.849,0.744,11.0,-9.744,0.0,0.0891,0.236,0.157,0.0776,0.312,122.019,4.0]",2
436,46,0.728,0.88,8.0,-6.59,1.0,0.0406,0.0133,0.00585,0.0657,0.843,122.001,4.0,"[46.0,0.728,0.88,8.0,-6.59,1.0,0.0406,0.0133,0.00585,0.0657,0.843,122.001,4.0]",2
437,0,0.692,0.986,9.0,-5.57,1.0,0.111,0.00557,0.797,0.0616,0.362,171.995,4.0,"[0.0,0.692,0.986,9.0,-5.57,1.0,0.111,0.00557,0.797,0.0616,0.362,171.995,4.0]",0
438,0,0.681,0.809,6.0,-5.416,0.0,0.131,0.086,0.138,0.0819,0.589,169.919,4.0,"[0.0,0.681,0.809,6.0,-5.416,0.0,0.131,0.086,0.138,0.0819,0.589,169.919,4.0]",0
439,50,0.802,0.651,2.0,-9.438,0.0,0.0578,0.0374,0.66,0.1,0.332,126.004,4.0,"[50.0,0.802,0.651,2.0,-9.438,0.0,0.0578,0.0374,0.66,0.1,0.332,126.004,4.0]",2
440,26,0.797,0.565,7.0,-12.02,1.0,0.101,0.288,0.0174,0.612,0.746,114.397,4.0,"[26.0,0.797,0.565,7.0,-12.02,1.0,0.101,0.288,0.0174,0.612,0.746,114.397,4.0]",0
441,17,0.882,0.6,9.0,-12.01,0.0,0.044,0.177,0.000144,0.0343,0.954,130.988,4.0,"[17.0,0.882,0.6,9.0,-12.01,0.0,0.044,0.177,0.000144,0.0343,0.954,130.988,4.0]",0
442,28,0.862,0.622,9.0,-10.751,1.0,0.0525,0.134,0.0016,0.0662,0.715,132.349,4.0,"[28.0,0.862,0.622,9.0,-10.751,1.0,0.0525,0.134,0.0016,0.0662,0.715,132.349,4.0]",0
443,36,0.77,0.692,0.0,-10.944,1.0,0.0533,0.0129,0.0192,0.34,0.65,115.953,4.0,"[36.0,0.77,0.692,0.0,-10.944,1.0,0.0533,0.0129,0.0192,0.34,0.65,115.953,4.0]",2
444,60,0.686,0.756,5.0,-3.888,0.0,0.0374,0.0314,0.0234,0.154,0.345,87.004,4.0,"[60.0,0.686,0.756,5.0,-3.888,0.0,0.0374,0.0314,0.0234,0.154,0.345,87.004,4.0]",2
445,51,0.529,0.807,7.0,-4.908,1.0,0.0399,0.0239,3.9e-05,0.1,0.267,174.024,4.0,"[51.0,0.529,0.807,7.0,-4.908,1.0,0.0399,0.0239,3.9e-05,0.1,0.267,174.024,4.0]",2
446,20,0.901,0.855,0.0,-6.417,1.0,0.0751,0.152,0.0178,0.0367,0.871,115.435,4.0,"[20.0,0.901,0.855,0.0,-6.417,1.0,0.0751,0.152,0.0178,0.0367,0.871,115.435,4.0]",0
447,51,0.898,0.643,10.0,-11.185,0.0,0.0638,0.0018,0.675,0.1,0.309,123.999,4.0,"[51.0,0.898,0.643,10.0,-11.185,0.0,0.0638,0.0018,0.675,0.1,0.309,123.999,4.0]",2
